date,walk_forward,YB_RSI_70_60_50,YB_Consensus_80_60_40,YB_HybridAND_80_60_40,YB_MDD_AND_60_40_20,GB_intraday_opt,bench
2020-11-13,111365.07581123788,108996.10903861816,109906.5337911032,109906.53379110314,109342.94685509447,91383.87095971142,188713.69294605806
2020-11-16,115147.56257236814,113323.03759520514,114902.02498494824,114902.02498494815,113056.75251534821,96975.626118254,202821.57676348547
2020-11-17,114722.20840669614,112836.26077248738,114339.80669767135,114339.80669767127,112639.12178513166,95783.14425417347,197676.34854771782
2020-11-18,111705.92786426385,109375.11644534848,110331.50480091291,110331.50480091285,109677.60983312393,92043.00242595153,193112.03319502072
2020-11-19,113806.11890774063,111772.75915033634,113093.9357835238,113093.93578352373,111739.6663259661,95140.51477506645,202489.6265560166
2020-11-20,111608.58871149282,109255.26622044573,110183.35037888169,110183.35037888163,109582.03813139578,91716.31971661483,199004.14937759333
2020-11-23,113531.47150462981,111457.17981331938,112727.98848009905,112727.98848009901,111470.00587646275,94761.13946683878,208215.76763485474
2020-11-24,114202.56141499364,112224.99113474363,113614.54390644241,113614.54390644234,112128.9103657685,96605.16510506893,211369.2946058091
2020-11-25,112664.06446780592,110461.15935368439,111573.776731691,111573.77673169096,110618.34891993241,94635.28185526936,209045.643153527
2020-11-27,113910.09552574306,111889.72368579751,113226.67646423646,113226.67646423643,111841.75497210222,96917.52175188556,216431.53526970954
2020-11-30,115408.55727893022,113607.69352865922,115214.42351680671,115214.42351680668,113313.0081692971,99691.62225647295,224896.26556016598
2020-12-01,116971.94015193876,115402.65795351514,117294.22195906358,117294.22195906352,114848.00367082475,102920.5052915642,236514.52282157677
2020-12-02,116714.8801467215,115107.16617298825,116951.43158592675,116951.43158592671,114595.61127325946,101822.75134878696,238340.2489626556
2020-12-03,115120.67700934419,113270.68999415217,114816.429241711,114816.42924171098,113030.35513118192,99259.93629704558,238672.19917012448
2020-12-04,119593.00213858322,118413.9960245441,120785.71528243319,120785.71528243316,117421.47331040322,106360.71955534101,258506.22406639002
2020-12-07,119231.65042515853,117995.38311240799,120296.34207433302,120296.34207433299,117066.68289779699,106884.41372956506,262074.68879668045
2020-12-08,118876.55469101902,117585.10352196147,119817.96128577333,119817.96128577333,116718.03487054382,107432.49917512723,265145.22821576765
2020-12-09,119410.68771138601,118068.54327338697,120264.83670947773,120264.83670947773,117242.46928621766,96911.77043746531,241908.71369294604
2020-12-10,120140.55862127227,118810.69089477339,121041.65088793857,121041.65088793852,117959.08744976156,95068.8776213869,241742.7385892116
2020-12-11,117597.10709093821,115878.7614567861,117630.96317288798,117630.96317288793,115461.8190423731,92904.36191430062,234024.89626556012
2020-12-14,118907.50785027326,117388.43521485345,119386.13702857603,119386.13702857599,116748.42599291932,94736.45302910249,242323.65145228215
2020-12-15,121485.81987005542,120360.52746284893,122843.51697939223,122843.51697939218,119279.9219049119,97912.7609201852,252697.09543568463
2020-12-16,121485.81987005542,120360.52746284893,122843.51697939223,122843.51697939218,119279.9219049119,98664.87843388713,252033.19502074688
2020-12-17,121485.81987005542,120360.52746284893,122843.51697939223,122843.51697939218,119279.9219049119,98664.87843388713,253609.95850622407
2020-12-18,121485.81987005542,120360.52746284893,122843.51697939223,122843.51697939218,119279.9219049119,98664.87843388713,250373.44398340248
2020-12-21,121819.044114719,120745.68808112535,123292.78135390727,123292.7813539072,119607.09557771427,99387.73130999798,245394.19087136927
2020-12-22,121954.31078934637,120902.03743705017,123475.1525317024,123475.15253170236,119739.90612632933,99739.84082508464,244647.30290456428
2020-12-23,121954.31078934637,120902.03743705017,123475.1525317024,123475.15253170236,119739.90612632933,99739.84082508464,239170.1244813278
2020-12-24,121908.27016774061,120848.78684611598,123412.99949817559,123412.9994981755,119694.7014945833,100315.53277171364,245809.1286307054
2020-12-28,123116.64636524717,122246.39496572471,125044.25997419136,125044.25997419126,120881.13641039906,103614.15390409199,244730.2904564315
2020-12-29,123116.64636524717,122246.39496572471,125044.25997419136,125044.25997419126,120881.13641039906,103614.15390409199,242821.57676348547
2020-12-30,124619.4917766323,123987.32125269904,127079.42687073766,127079.42687073756,122356.69366882571,105910.50211655888,255269.70954356846
2020-12-31,124605.34951990737,123970.93857867076,127060.27529831974,127060.27529831964,122342.80820236128,105854.89870612761,258091.28630705396
2021-01-04,121124.76880664332,119930.9354589644,122328.07029717785,122328.07029717778,118925.42668321815,101623.18093686298,254522.82157676347
2021-01-05,124189.7715661509,123465.05308539124,126440.17121661492,126440.17121661484,121934.7761709481,104285.70397752392,269626.55601659755
2021-01-06,123487.03968714127,122655.65703490851,125499.43323198258,125499.43323198252,121244.80425704063,101118.3106440235,267468.87966804975
2021-01-07,128783.2766634407,128801.00141174786,132694.86337826727,132694.8633782672,126444.87397380777,105441.74398503761,297676.3485477178
2021-01-08,129296.87699520234,129597.46449297076,133803.99233321258,133803.99233321246,126949.14852641312,110168.90597101705,297759.33609958505
2021-01-11,134165.41029336205,135051.91707190417,140028.7393995048,140028.7393995047,131729.2806621398,114049.68833949407,307800.8298755187
2021-01-12,133694.97079593546,134495.45850054998,139364.66791561642,139364.66791561633,131267.383244202,113664.21987939991,313278.00829875516
2021-01-13,135476.57209593058,136589.26187456815,141847.5708074183,141847.57080741817,133016.63483715674,116184.94528731322,314273.8589211618
2021-01-14,136538.82842043936,137838.73947217144,143330.5182708335,143330.51827083342,134059.60307465095,118337.71917104586,334771.78423236514
2021-01-15,136149.16411015604,137415.08708352072,142858.58348913238,142858.5834891323,133677.01415563605,117797.50054014957,314522.8215767634
2021-01-19,136793.20310167607,138568.10939274132,144580.2014917714,144580.20149177132,134309.3589074301,117797.50054014957,345560.1659751037
2021-01-20,138283.36934777396,140322.80160930596,146665.00350993258,146665.0035099325,135772.4672245161,117797.50054014957,342987.5518672199
2021-01-21,138319.8872936456,140366.03421624107,146716.64533964984,146716.64533964972,135808.3220900169,117854.70436454688,357593.36099585064
2021-01-22,137241.3301702311,139089.15965331855,145191.4044757884,145191.4044757883,134749.34903794815,114775.84211179464,338506.22406639
2021-01-25,135192.8382505212,137013.08665609785,143024.24813512145,143024.24813512134,132738.05293386625,114775.84211179464,339668.0497925311
2021-01-26,135074.78392169546,136893.4428332827,142899.35519080656,142899.35519080644,132622.14219516498,114775.84211179464,324730.2904564315
2021-01-27,135074.78392169546,136893.4428332827,142899.35519080656,142899.35519080644,132622.14219516498,114775.84211179464,274024.8962655602
2021-01-28,135074.78392169546,136893.4428332827,142899.35519080656,142899.35519080644,132622.14219516498,114775.84211179464,290456.4315352697
2021-01-29,135032.04237030374,136850.1258058393,142854.13771974057,142854.13771974042,132580.17673024442,114775.84211179464,277178.4232365145
2021-02-01,133705.769365203,135505.99574296738,141451.03677274412,141451.03677274403,131277.9857367423,119224.49984750412,309045.643153527
2021-02-02,133705.769365203,135505.99574296738,141451.03677274412,141451.03677274403,131277.9857367423,125168.90518193413,324066.39004149375
2021-02-03,134217.3098913703,136024.4236963031,141992.20966394525,141992.20966394513,131780.23788499876,125168.90518193413,303900.4149377593
2021-02-04,135797.150961958,137869.21248220082,144172.30207762044,144172.30207762035,133331.39274178317,125168.90518193413,312116.18257261405
2021-02-05,136553.57393074172,138763.58791631222,145239.2898242342,145239.28982423412,134074.08084102074,125168.90518193413,304481.32780082984
2021-02-08,140939.41954999027,143963.2195780688,151459.042601426,151459.04260142584,138380.2897756152,132337.68864073668,332863.0705394191
2021-02-09,139089.974865758,141763.5733084286,148819.4238696963,148819.4238696962,136564.4266753897,130642.87353319979,328879.6680497925
2021-02-10,138419.60397281114,140962.00515563288,147852.413237473,147852.41323747288,135906.22814782854,127049.56384758899,331535.2697095436
2021-02-11,145502.39224896638,149398.4102580154,157991.11293995354,157991.1129399534,142860.4095770067,137607.0475567056,366141.07883817423
2021-02-12,147919.08172358567,152295.24233261214,161494.42072952387,161494.42072952373,145233.21763073135,135776.15374121175,380082.98755186715
2021-02-16,149399.3752625909,154067.34465272925,163634.79094983998,163634.79094983984,146686.6325059633,135776.15374121175,385892.11618257256
2021-02-17,147527.8900413766,152137.38505227893,161584.98255940422,161584.98255940407,144849.12907328768,130842.34591618853,365062.2406639004
2021-02-18,149437.43981109044,154033.411435544,163521.0185671566,163521.01856715645,146724.0058914105,125411.56283214065,354024.8962655601
2021-02-19,154280.2256217045,159864.21390945077,170603.8930371569,170603.89303715675,151478.8580536639,127048.36974218939,379502.0746887966
2021-02-22,144442.6845846341,147930.6864824736,156018.50662391356,156018.5066239134,141819.9437219892,122138.15083972059,337676.3485477178
2021-02-23,140607.9269322893,143000.56978558525,149740.33801151716,149740.33801151701,138054.81628748527,122138.15083972059,330788.3817427386
2021-02-24,149370.55452381336,153397.59523573617,162182.67888613677,162182.67888613656,146658.33508430285,132071.1424876673,362821.57676348544
2021-02-25,135631.5686428909,136290.15027791503,140941.76512514421,140941.76512514404,133168.8170098312,126978.754317867,300248.9626556017
2021-02-26,138881.88663902282,140412.04522187004,146124.51195196656,146124.5119519664,136360.11684350268,126978.754317867,320746.88796680496
2021-03-01,140945.43755530322,142845.41304330318,149017.8919150362,149017.89191503605,138386.198508046,126978.754317867,352116.1825726141
2021-03-02,143285.9141159582,145217.43974259772,151492.4160230515,151492.41602305134,140684.1774958309,126978.754317867,319917.01244813274
2021-03-03,145070.8265249043,147026.41316326612,153379.556813471,153379.55681347087,142436.68007575275,126978.754317867,290290.4564315352
2021-03-04,149322.72759835972,151335.63079805966,157874.97962095987,157874.9796209597,146611.37658380327,126978.754317867,248132.7800829875
2021-03-05,147056.2433803785,149038.59387448686,155478.68566437304,155478.68566437287,144386.0464110417,126978.754317867,271701.244813278
2021-03-08,152692.69395958315,154751.02504678883,161437.95612934852,161437.95612934834,149920.15224847652,126978.754317867,228215.76763485477
2021-03-09,149261.2330992416,151273.30733957258,157809.96310973467,157809.96310973453,146550.99868076705,126978.754317867,269128.63070539414
2021-03-10,149261.2330992416,151273.30733957258,157809.96310973467,157809.96310973453,146550.99868076705,126978.754317867,254605.8091286307
2021-03-11,149261.2330992416,151273.30733957258,157809.96310973467,157809.96310973453,146550.99868076705,126978.754317867,286058.091286307
2021-03-12,149261.2330992416,151273.30733957258,157809.96310973467,157809.96310973453,146550.99868076705,126978.754317867,276763.4854771784
2021-03-15,152589.7862462004,154646.7301148033,162502.2183227241,162502.2183227239,149819.11309815556,130495.05464446121,295684.6473029046
2021-03-16,153061.35675496195,155124.65749770738,163151.29184976188,163151.2918497617,150282.12099091127,133525.91730665724,306887.96680497925
2021-03-17,155055.89942433086,157146.08704080063,165887.17727665306,165887.17727665292,152240.4474366875,139901.48397597764,318340.2489626556
2021-03-18,154250.53279373673,156329.86389094967,164336.15709413477,164336.1570941346,151449.70437791044,135655.68084030366,278921.1618257261
2021-03-19,154209.33978795758,156288.11559439547,164398.9669800146,164398.9669800145,151409.2593406409,135655.68084030366,288215.7676348547
2021-03-22,156999.7059809207,159116.09653715917,168369.57630385674,168369.5763038566,154148.9590186672,136142.5334111391,307053.94190871366
2021-03-23,159511.9039573588,161662.15949467805,171216.91399807183,171216.91399807163,156615.54136350163,136989.2940806341,281825.7261410788
2021-03-24,157861.8754371629,159989.88822723718,169445.80611064876,169445.80611064858,154995.47349681263,136989.2940806341,270124.4813278008
2021-03-25,157861.8754371629,159989.88822723718,169445.80611064876,169445.80611064858,154995.47349681263,139843.13323818467,272199.1701244813
2021-03-26,170001.91317926475,172293.57634733967,186820.3070848076,186820.30708480737,166915.07658587667,151439.66600531855,312116.18257261405
2021-03-29,168246.18184600913,170514.1773696781,184307.55083082832,184307.55083082808,165191.22522165376,147826.6427972372,296680.49792531115
2021-03-30,167590.3433073546,169849.49798332292,183349.6212582332,183349.62125823292,164547.29517486625,146921.10979178204,294107.8838174274
2021-03-31,173756.1854307284,176098.45701420706,192375.93069768007,192375.9306976799,170601.18004588012,153746.84816410634,317510.3734439834
2021-04-01,180646.37908005176,183081.53198887417,202552.92145099796,202552.92145099776,177366.2639155869,158912.55716790605,352199.17012448126
2021-04-05,182760.4613322393,185224.11253464568,205677.60726181127,205677.6072618111,179441.95938532334,158912.55716790605,373443.98340248957
2021-04-06,176531.78395166816,178911.47121348153,197209.47269381245,197209.47269381225,173889.33356635776,158912.55716790605,360082.9875518672
2021-04-07,177601.5960466543,179995.7046107283,198579.77746452854,198579.77746452842,174789.6651202511,158912.55716790605,360000.0
2021-04-08,177601.5960466543,179995.7046107283,198579.77746452854,198579.77746452842,174789.6651202511,158912.55716790605,371701.24481327797
2021-04-09,177506.1846262907,179899.00702344,198457.85591784283,198457.85591784268,174709.17872862966,159927.60968684778,369294.6058091286
2021-04-12,176374.35192266162,178751.91696610933,197011.54274809794,197011.5427480978,173754.3964825729,156990.85593896508,357095.4356846473
2021-04-13,176374.35192266162,178751.91696610933,197011.54274809794,197011.5427480978,173754.3964825729,156990.85593896508,354522.82157676347
