date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2021-02-12,155681.3756759496,169265.4249760916,165088.80621537555,165088.80621537555,169265.4249760916,316747.40484429064
2021-02-16,157459.53563473764,171467.5356856178,167236.5799160065,167236.5799160065,171467.5356856178,321074.97116493655
2021-02-17,157459.53563473764,171467.5356856178,167236.5799160065,167236.5799160065,171467.5356856178,304862.7450980392
2021-02-18,157255.97486634878,171214.1984843057,166989.4938017545,166989.4938017545,171214.1984843057,297019.60784313723
2021-02-19,162199.64965280838,177366.74322321368,172990.22470280222,172990.22470280222,177366.74322321368,316442.9065743945
2021-02-22,152660.43265591815,165424.6050541906,161342.7583979643,161342.7583979643,165424.6050541906,282237.600922722
2021-02-23,147285.5114341305,158357.43437810236,154449.9699244736,154449.9699244736,158357.43437810236,276415.2249134948
2021-02-24,155222.0372216786,168109.59416512612,163961.49549142714,163961.49549142714,168109.59416512612,294897.34717416385
2021-02-25,140028.25398816823,148792.6902945081,145121.2355846686,145121.2355846686,148792.6902945081,253194.92502883504
2021-02-26,142983.13053309635,152650.83031825355,148884.17613098436,148884.17613098436,152650.83031825355,267760.092272203
2021-03-01,145506.24141828372,155729.43419256326,151886.81555655875,151886.81555655875,155729.43419256326,291750.8650519031
2021-03-02,145506.24141828372,155729.43419256326,151886.81555655875,151886.81555655875,155729.43419256326,17882.35294117647
2021-03-03,147107.0239191212,157442.6868385728,153557.79375021523,153557.79375021523,157442.6868385728,16267.589388696655
2021-03-04,137532.2889975647,142332.58485617887,148305.86386018986,138820.53303428149,142332.58485617887,13838.523644752018
2021-03-05,142030.07555886524,149649.09719823065,150559.9229778933,145956.51067637827,149649.09719823065,15040.369088811998
2021-03-08,131374.31235173118,133025.21486091308,144693.56025170645,129742.82208569132,133025.21486091308,12848.904267589389
2021-03-09,136595.83854515117,141547.33742541962,147189.79545386773,138054.66155789437,141547.33742541962,14985.005767012684
2021-03-10,136595.83854515117,141547.33742541962,147189.79545386773,138054.66155789437,141547.33742541962,14196.078431372549
2021-03-11,136595.83854515117,141547.33742541962,147189.79545386773,138054.66155789437,141547.33742541962,15990.772779700113
2021-03-12,136595.83854515117,141547.33742541962,147189.79545386773,138054.66155789437,141547.33742541962,15395.617070357554
2021-03-15,138698.60477533092,144452.65737542819,150210.9292805292,140888.2928342662,144452.65737542819,16389.850057670126
2021-03-16,139564.4636275997,145647.04146032874,151452.92473129136,142053.20553139102,145647.04146032874,17038.062283737025
2021-03-17,140195.05759125142,146458.5767203284,152296.80997205677,142844.71618570187,146458.5767203284,17670.12687427912
2021-03-18,139299.32418475518,144886.0601342704,150661.60864040584,141311.00139437424,144886.0601342704,15621.683967704728
2021-03-19,139592.25809567404,145345.0787380916,151138.9249618207,141758.69372933396,145345.0787380916,15990.772779700113
2021-03-22,141874.71037317227,148510.40175614733,154430.42627895798,144845.91250665177,148510.40175614733,17019.607843137255
2021-03-23,143727.93727827916,150450.3068421123,156447.66120542595,146737.95049880716,150450.3068421123,15690.888119953863
2021-03-24,142099.42074319033,148745.62216464983,154675.02320634492,145075.32885935734,148745.62216464983,15042.675893886964
2021-03-25,142099.42074319033,148745.62216464983,154675.02320634492,145075.32885935734,148745.62216464983,15164.936562860437
