date,equity
2022-10-07,533296.8071856479
2022-10-10,539954.3694588882
2022-10-11,535099.9498961994
2022-10-12,530400.1589330331
2022-10-13,517829.11683609185
2022-10-14,540357.2027552885
2022-10-17,530885.1725854473
2022-10-18,530885.1725854473
2022-10-19,533662.1971616202
2022-10-20,533308.4847477648
2022-10-21,543465.2200571747
2022-10-24,531519.6156222736
2022-10-25,534647.0876598035
2022-10-26,531463.6644821691
2022-10-27,524252.28665359993
2022-10-28,534128.6163945615
2022-10-31,532762.9252591169
2022-11-01,532762.9252591169
2022-11-02,528079.4874609187
2022-11-03,527969.1681259488
2022-11-04,527969.1681259488
2022-11-07,529999.0756337943
2022-11-08,532819.1488449312
2022-11-09,532819.1488449312
2022-11-10,532819.1488449312
2022-11-11,538906.1182663392
2022-11-14,534472.8360157368
2022-11-15,547276.4550404501
2022-11-16,547276.4550404501
2022-11-17,547276.4550404501
2022-11-18,543165.5500704844
2022-11-21,550635.1488827997
2022-11-22,555946.916166545
2022-11-23,557746.4094054505
2022-11-25,556816.6721848423
2022-11-28,544146.20654898
2022-11-29,538615.1441463237
2022-11-30,573146.7500406505
2022-12-01,571144.6771177879
2022-12-02,587962.8388652431
2022-12-05,580526.2885863496
2022-12-06,581233.5479645829
2022-12-07,585614.6460950922
2022-12-08,592101.724827171
2022-12-09,587639.9777724263
2022-12-12,592296.3918587879
2022-12-13,600421.1796735022
2022-12-14,590254.8686325606
2022-12-15,594783.3181541797
2022-12-16,591897.671375787
2022-12-19,587166.0513442081
2022-12-20,595314.9981392726
2022-12-21,600493.3590575099
2022-12-22,596972.5460052342
2022-12-23,597290.2167831118
2022-12-27,596084.6718088532
2022-12-28,591145.1338878047
2022-12-29,600032.5529040397
2022-12-30,600517.6917491457
2023-01-03,603580.4689488625
2023-01-04,603580.4689488625
2023-01-05,598802.7072810859
2023-01-06,612761.1313009987
2023-01-09,616534.376894131
2023-01-10,620983.081250514
2023-01-11,625989.0764119319
2023-01-12,613182.1471182355
2023-01-13,622729.4847213702
2023-01-17,621623.1103984626
2023-01-18,613183.1089546784
2023-01-19,605577.1256126093
2023-01-20,608774.8282528888
2023-01-23,637004.1748547365
2023-01-24,631707.9106677787
2023-01-25,631009.1601620576
2023-01-26,633108.4320807591
2023-01-27,629870.856520753
2023-01-30,622826.5892474973
2023-01-31,627793.6593823916
2023-02-01,644120.6464083669
2023-02-02,653733.5399769205
2023-02-03,640718.3025537407
2023-02-06,633598.1568781432
2023-02-07,663278.8466073775
2023-02-08,634187.6751520766
2023-02-09,653488.391222006
2023-02-10,653488.391222006
2023-02-13,658631.2858443909
2023-02-14,678470.5946598582
2023-02-15,683636.1557933758
2023-02-16,672520.3836073013
2023-02-17,672520.3836073013
2023-02-21,644790.4366999108
2023-02-22,633059.1776684148
2023-02-23,669381.3323961613
2023-02-24,669381.3323961613
2023-02-27,669381.3323961613
2023-02-28,669722.586081023
2023-03-01,664885.241237134
2023-03-02,666961.8745142424
2023-03-03,674089.4489032797
2023-03-06,652066.6563115271
2023-03-07,646221.8704079441
2023-03-08,654015.7077673883
2023-03-09,644533.2227740266
2023-03-10,649410.8255886156
2023-03-13,655068.39596114
2023-03-14,658516.5266541082
2023-03-15,657188.9337454719
2023-03-16,670353.469016667
2023-03-17,665496.3681577578
2023-03-20,667437.7088030988
2023-03-21,656209.2884505145
2023-03-22,650236.446349112
2023-03-23,657984.553667101
2023-03-24,656419.53589603
2023-03-27,656419.53589603
2023-03-28,645282.0793143259
2023-03-29,645362.1552398107
2023-03-30,650499.8605192953
2023-03-31,651219.9867662725
2023-04-03,647198.5273986582
2023-04-04,647189.8554076768
2023-04-05,651334.3334703579
2023-04-06,650519.3177636777
2023-04-10,663739.9694268013
2023-04-11,666944.4430474587
2023-04-12,673109.1954434135
2023-04-13,673408.2691405325
2023-04-14,664982.8605987306
2023-04-17,658575.627835296
2023-04-18,652009.0485711892
2023-04-19,637546.6147248873
2023-04-20,642443.6989267217
2023-04-21,640654.057186475
2023-04-24,631635.8278756512
2023-04-25,630286.7822637659
2023-04-26,625881.2569492596
2023-04-27,625488.6138902516
2023-04-28,636068.5623993888
2023-05-01,637399.6206758514
2023-05-02,623253.3056683477
2023-05-03,604377.4410506126
2023-05-04,592424.8524876507
2023-05-05,609699.0646264346
2023-05-08,608506.8894214532
2023-05-09,593578.8479042244
2023-05-10,586607.1140115847
2023-05-11,586606.3581147396
2023-05-12,586606.3581147396
2023-05-15,606345.3666476349
2023-05-16,600194.4060247245
2023-05-17,620698.4658369878
2023-05-18,646786.5945497155
2023-05-19,645635.2614631951
2023-05-22,653480.3261237943
2023-05-23,636569.7434772819
2023-05-24,614014.6567479549
2023-05-25,614014.6567479549
