date,close
2023-06-08,22.28
2023-06-09,22.42
2023-06-12,24.61
2023-06-13,25.59
2023-06-14,26.69
2023-06-15,25.95
2023-06-16,25.18
2023-06-20,24.61
2023-06-21,22.76
2023-06-22,23.13
2023-06-23,21.86
2023-06-26,22.07
2023-06-27,24.41
2023-06-28,23.75
2023-06-29,23.82
2023-06-30,24.87
2023-07-03,25.5
2023-07-05,23.83
2023-07-06,22.96
2023-07-07,22.95
2023-07-10,24.34
2023-07-11,24.36
2023-07-12,25.72
2023-07-13,27.29
2023-07-14,26.27
2023-07-17,28.09
2023-07-18,28.24
2023-07-19,27.28
2023-07-20,24.26
2023-07-21,24.94
2023-07-24,24.89
2023-07-25,26.17
2023-07-26,25.04
2023-07-27,26.45
2023-07-28,28.17
2023-07-31,28.45
2023-08-01,28.52
2023-08-02,25.25
2023-08-03,25.1
2023-08-04,24.89
2023-08-07,25.69
2023-08-08,24.42
2023-08-09,23.07
2023-08-10,22.78
2023-08-11,21.16
2023-08-14,22.94
2023-08-15,21.76
2023-08-16,20.48
2023-08-17,19.89
2023-08-18,20.18
2023-08-21,21.93
2023-08-22,21.33
2023-08-23,22.66
2023-08-24,20.41
2023-08-25,20.64
2023-08-28,21.41
2023-08-29,23.09
2023-08-30,23.4
2023-08-31,23.85
2023-09-01,24.04
2023-09-05,24.02
2023-09-06,23.45
2023-09-07,21.85
2023-09-08,21.48
2023-09-11,21.45
2023-09-12,20.91
2023-09-13,21.25
2023-09-14,21.67
2023-09-15,19.74
2023-09-18,19.96
2023-09-19,19.4
2023-09-20,18.44
2023-09-21,17.41
2023-09-22,17.86
2023-09-25,18.23
2023-09-26,17.24
2023-09-27,17.69
2023-09-28,18.64
2023-09-29,18.88
2023-10-02,19.12
2023-10-03,17.9
2023-10-04,18.64
2023-10-05,18.36
2023-10-06,19.5
2023-10-09,19.36
2023-10-10,20.09
2023-10-11,20.56
2023-10-12,20.68
2023-10-13,18.98
2023-10-16,19.79
2023-10-17,19.3
2023-10-18,18.28
2023-10-19,17.41
2023-10-20,16.63
2023-10-23,16.38
2023-10-24,17.04
2023-10-25,14.96
2023-10-26,14.7
2023-10-27,15.14
2023-10-30,14.5
2023-10-31,14.92
2023-11-01,15.97
2023-11-02,17.08
2023-11-03,18.39
2023-11-06,18.28
2023-11-07,18.6
2023-11-08,18.68
2023-11-09,18.37
2023-11-10,20.61
2023-11-13,20.0
2023-11-14,22.17
2023-11-15,22.67
2023-11-16,22.71
2023-11-17,23.15
2023-11-20,24.19
2023-11-21,22.82
2023-11-22,22.99
2023-11-24,23.09
2023-11-27,22.93
2023-11-28,22.54
2023-11-29,23.25
2023-11-30,22.77
2023-12-01,23.09
2023-12-04,22.29
2023-12-05,21.91
2023-12-06,21.48
2023-12-07,23.18
2023-12-08,23.72
2023-12-11,26.12
2023-12-12,26.68
2023-12-13,27.93
2023-12-14,30.21
2023-12-15,30.57
2023-12-18,30.29
2023-12-19,30.77
2023-12-20,28.05
2023-12-21,30.26
2023-12-22,30.53
2023-12-26,32.16
2023-12-27,32.36
