date,regime,active_CHAMP,BASE_equity,CHAMP_equity,CHAMP_cash,BASE_dd_%,CHAMP_dd_%,CHAMP_ret_%,k_today,VIX,scale
2014-04-01,BULL,longbyungi,373494.219650764,585294.9277268058,4430.082276526024,-1.6965634614641734,-1.9532404670368875,2.8111938790827073,0.9923663833162036,13.100000381469727,1.5267175127941595
2014-04-02,BULL,longbyungi,375588.0449620779,590289.7421815644,590289.7421815644,-1.145469996601478,-1.1165249095323904,0.8533842030987282,0.9931245109596047,13.09000015258789,1.5278838630147764
2014-04-03,BULL,longbyungi,371980.3416743688,581808.0427055421,16335.612484917045,-2.0950151636586645,-2.5373524437573014,-1.436870551854097,0.9723261115388103,13.369999885559082,1.4958863254443235
2014-04-04,BULL,longbyungi,378340.7680531972,596761.3858112175,596761.3858112175,-0.4209550631467329,-0.03241558843505299,2.5701506352746373,0.9312320891458679,13.960000038146973,1.4326647525321043
2014-04-07,BULL,longbyungi,371899.7181078176,583711.231979455,98502.03015273862,-2.116235234120245,-2.218536181655417,-2.1868294668601185,0.8349390015930098,15.569999694824219,1.2845215409123227
2014-04-08,BULL,longbyungi,376807.0917889733,593916.3584754011,74560.0313304746,-0.8246176618658341,-0.5090055909195756,1.7483176503797715,0.8730691538116517,14.890000343322754,1.3431833135563873
2014-04-09,BULL,longbyungi,381659.3799243991,604160.3728023742,604160.3728023742,0.0,0.0,1.7248244101694343,0.940665722653285,13.819999694824219,1.4471780348512076
2014-04-10,BULL,longbyungi,381659.3799243991,604160.3728023742,604160.3728023742,0.0,0.0,0.0,0.8181245889942865,15.890000343322754,1.2586532138373638
2014-04-11,NEUTRAL,longbyungi,373365.04023680044,588740.7608792249,142969.2671208672,-2.173230928908809,-2.5522382164235746,-2.5522382164235746,0.7633587478475129,17.030000686645508,1.1743980736115582
2014-04-14,NEUTRAL,longbyungi,374937.90335691767,591273.2538718594,115577.1924969654,-1.7611191866456544,-2.133062595737356,0.4301541800592279,0.8069521730276524,16.110000610351562,1.2414648815810037
2014-04-15,NEUTRAL,longbyungi,375871.9902612681,593015.8351058187,99654.4244427582,-1.5163755871209994,-1.8446323523110264,0.2947167358828162,0.8327995058244088,15.609999656677246,1.2812300089606288
2014-04-16,NEUTRAL,longbyungi,380564.92546170484,602512.6996100824,602512.6996100824,-0.2867621026138578,-0.2727211625365489,1.6014520931922682,0.9167841833723323,14.180000305175781,1.4104372051882035
2014-04-17,NEUTRAL,longbyungi,391334.31129910395,628036.8874162083,16235.357079137582,0.0,0.0,4.236290425520317,0.9730539172209245,13.359999656677246,1.49700602649373
2014-04-21,NEUTRAL,longbyungi,393765.3645132071,633888.9213991459,11884.610537746572,0.0,0.0,0.9317978131847093,0.9811320754716982,13.25,1.509433962264151
2014-04-22,BULL,longbyungi,396750.3090259142,641159.8173928605,9178.715800712002,0.0,0.0,1.147029984001935,0.985595179194253,13.1899995803833,1.516300275683466
2014-04-23,BULL,longbyungi,397334.4678557802,642588.219063654,642588.219063654,0.0,0.0,0.22278402857522916,0.9796533196345365,13.270000457763672,1.5071589532839023
2014-04-24,BULL,longbyungi,397334.4678557802,642588.219063654,642588.219063654,0.0,0.0,0.0,0.9759759983366546,13.319999694824219,1.5015015359025454
2014-04-25,BULL,longbyungi,397334.4678557802,642588.219063654,642588.219063654,0.0,0.0,0.0,0.9246087917509752,14.0600004196167,1.4224750642322694
2014-04-28,NEUTRAL,longbyungi,386941.8622852708,618526.062708914,44617.80473636871,-2.615581181917892,-3.7445685496385273,-3.7445685496385273,0.9305654797073879,13.970000267028809,1.4316391995498274
2014-04-29,NEUTRAL,longbyungi,387276.9383376284,619226.9312306012,32425.962379958015,-2.531250201480728,-3.635498930729486,0.11331269027170521,0.9482129805855978,13.710000038146973,1.4587892009009196
2014-04-30,NEUTRAL,longbyungi,388165.8953538171,621442.6628646852,18725.088029787992,-2.307520047641831,-3.290685320963549,0.3578222332288883,0.9694258126713379,13.40999984741211,1.4914243271866736
2014-05-01,NEUTRAL,longbyungi,381560.0420966363,605468.4387292789,11733.297080560704,-3.9700622612155345,-5.776604555319132,-2.5705065149163375,0.9811320754716982,13.25,1.509433962264151
2014-05-02,NEUTRAL,longbyungi,378973.991639875,599217.0714052396,1.1641532182693481e-10,-4.620912027840863,-6.749446437348716,-1.0324844243176812,1.0069713519482288,12.90999984741211,1.5491866953049676
2014-05-05,NEUTRAL,longbyungi,376082.385088987,592184.5177141544,12923.506007200107,-5.348663276428123,-7.843857054047021,-1.1736237211321332,0.9781790848242717,13.289999961853027,1.5048908997296488
2014-05-06,NEUTRAL,longbyungi,376952.0577289332,594245.3932747993,594245.3932747993,-5.129786559127602,-7.523142247969828,0.34801240137110057,0.9420289724871184,13.800000190734863,1.4492753422878744
2014-05-07,NEUTRAL,longbyungi,376952.0577289332,594245.3932747993,594245.3932747993,-5.129786559127602,-7.523142247969828,0.0,0.9701492813494464,13.399999618530273,1.4925373559222253
2014-05-08,NEUTRAL,longbyungi,380306.94876218133,602121.5091553318,19026.485081983847,-4.285437199920783,-6.297455930220474,1.3253978860699789,0.967982107564803,13.430000305175781,1.489203242407389
2014-05-09,NEUTRAL,longbyungi,379334.51477189537,599838.5727744607,599838.5727744607,-4.530176599332492,-6.652727986748008,-0.37914878411728914,1.006191944522728,12.920000076293945,1.5479876069580432
2014-05-12,NEUTRAL,longbyungi,387080.6708760527,618683.0857553054,0.0,-2.5806462336535385,-3.7201325201980717,3.14159739572637,1.0629599743732185,12.229999542236328,1.6353230374972592
2014-05-13,BULL,longbyungi,388814.6727634408,622901.4904241909,622901.4904241909,-2.144237608762356,-3.063661619590463,0.6818361073724244,1.0717229907131935,12.130000114440918,1.6488046010972208
2014-05-14,NEUTRAL,longbyungi,388814.6727634408,622901.4904241909,622901.4904241909,-2.144237608762356,-3.063661619590463,0.0,1.0682004863190444,12.170000076293945,1.6433853635677607
2014-05-15,NEUTRAL,longbyungi,388814.6727634408,622901.4904241909,622901.4904241909,-2.144237608762356,-3.063661619590463,0.0,0.98709186975633,13.170000076293945,1.5186028765482
2014-05-16,NEUTRAL,longbyungi,392668.52982070413,632400.0766620047,0.0,-1.1743099108053379,-1.5854854009765273,1.5248938048527227,1.0450161124201136,12.4399995803833,1.607717096030944
2014-05-19,NEUTRAL,longbyungi,396521.80849530234,641942.9737875585,0.0,-0.20452777853967596,-0.10041349295754065,1.508996832499454,1.0466988663561363,12.420000076293945,1.6103059482402098
2014-05-20,NEUTRAL,longbyungi,396541.0133921853,641990.4830335678,641990.4830335678,-0.1996943451386901,-0.09302007294145209,0.007400851469552272,1.0030864168005624,12.960000038146973,1.5432098720008653
2014-05-21,NEUTRAL,longbyungi,396541.0133921853,641990.4830335678,641990.4830335678,-0.1996943451386901,-0.09302007294145209,0.0,1.0915197453024934,11.90999984741211,1.6792611466192204
2014-05-22,NEUTRAL,longbyungi,394495.55463846563,636895.7920433187,0.0,-0.7144895414270991,-0.8858592254663344,-0.7935773387442335,1.0806317779351469,12.029999732971191,1.6625104275925335
2014-05-23,BULL,longbyungi,397055.20745607297,643245.639201468,-1.1641532182693481e-10,-0.07028345696115101,0.0,0.9969993894570095,1.1443662317682188,11.359999656677246,1.7605634334895675
2014-05-27,BULL,longbyungi,404096.61250352557,660724.0891596363,660724.0891596363,0.0,0.0,2.717227897551888,1.1294526274099748,11.510000228881836,1.7376194267845766
2014-05-28,BULL,longbyungi,404096.61250352557,660724.0891596363,660724.0891596363,0.0,0.0,0.0,1.1130136695492452,11.680000305175781,1.7123287223834542
2014-05-29,BULL,longbyungi,400983.4227111909,652892.9097745579,0.0,-0.7704072976626453,-1.185241996404085,-1.185241996404085,1.1235955352544638,11.569999694824219,1.728608515776098
2014-05-30,BULL,longbyungi,400515.97375740507,651717.0493694273,651717.0493694273,-0.8860848211364902,-1.363207417133061,-0.1801000420630472,1.1403509153516975,11.399999618530273,1.7543860236179962
2014-06-02,BULL,longbyungi,400515.97375740507,651717.0493694273,651717.0493694273,-0.8860848211364902,-1.363207417133061,0.0,1.1226252232857952,11.579999923706055,1.7271157281319924
2014-06-03,BULL,longbyungi,403458.0659222868,659082.208891729,0.0,-0.15801829599182415,-0.24849711019248044,1.1301161339001276,1.0951979886550518,11.869999885559082,1.6849199825462333
2014-06-04,BULL,longbyungi,402653.35326761135,657061.8391319137,0.0,-0.3571569746582903,-0.5542782664970658,-0.30654290656890737,1.0761589471940738,12.079999923706055,1.6556291495293443
2014-06-05,BULL,longbyungi,401908.988795163,655186.3766992434,0.0,-0.5413615557946505,-0.8381278284308014,-0.28543164752165007,1.1130136695492452,11.680000305175781,1.7123287223834542
2014-06-06,BULL,longbyungi,403526.14740941115,659253.6583743832,659253.6583743832,-0.1411704717295681,-0.2225483843223075,0.6207823941074997,1.2115564356576443,10.729999542236328,1.8639329779348373
2014-06-09,BULL,longbyungi,399951.8548256642,650269.9093484025,0.0,-1.0256848361541837,-1.582230765118653,-1.362715081192456,1.1659193224002624,11.149999618530273,1.793722034461942
2014-06-10,BULL,longbyungi,400228.1410362146,650964.3365439294,650964.3365439294,-0.9573135105846009,-1.4771298301111013,0.10679060887544001,1.18289356421682,10.989999771118164,1.8198362526412615
2014-06-11,BULL,longbyungi,402281.27776482474,656101.8632206408,0.0,-0.44923285237512545,-0.6995697621490438,0.7892178401027738,1.1206896183181756,11.600000381469727,1.7241378743356548
2014-06-12,BULL,longbyungi,401984.8406904822,655360.0941235422,655360.0941235422,-0.522590823011404,-0.8118358516209789,-0.1130570020724253,1.0350318125544082,12.5600004196167,1.5923566346990896
2014-06-13,BULL,longbyungi,401984.8406904822,655360.0941235422,655360.0941235422,-0.522590823011404,-0.8118358516209789,0.0,1.06732345437428,12.180000305175781,1.6420360836527386
2014-06-16,BULL,longbyungi,401940.97104691213,655250.0616017269,-1.1641532182693481e-10,-0.5334470495207744,-0.8284891753941759,-0.0167896279925972,1.0276680151797817,12.649999618530273,1.5810277156612025
2014-06-17,BULL,longbyungi,403422.98268499185,658968.8908157846,0.0,-0.16670018943251153,-0.26564769964481094,0.5675435123145389,1.0779435777509847,12.0600004196167,1.6583747350015148
2014-06-18,BULL,longbyungi,403895.195976123,660154.2429768381,660154.2429768381,-0.0498436564847049,-0.08624571014550497,0.17987983614615732,1.225259229091364,10.609999656677246,1.8850141986020985
