date,equity,cash,regime,active
2019-10-25,1272571.3014581641,497491.30461006647,BEAR,yangbyungi
2019-10-28,1301593.4483491885,386134.5265164628,BEAR,yangbyungi
2019-10-29,1262989.4537716438,609283.8915906609,BEAR,yangbyungi
2019-10-30,1275720.6358349328,1275720.6358349328,BEAR,yangbyungi
2019-10-31,1275720.6358349328,1275720.6358349328,BEAR,yangbyungi
2019-11-01,1296304.0149518412,382716.19075047993,BEAR,yangbyungi
2019-11-04,1339948.960033237,399046.6160300537,BEAR,yangbyungi
2019-11-05,1329732.8032428045,636142.2321983497,BEAR,yangbyungi
2019-11-06,1325451.40270682,1325451.40270682,BEAR,yangbyungi
2019-11-07,1325451.40270682,1325451.40270682,BEAR,yangbyungi
2019-11-08,1337024.5665185375,397635.42081204604,BEAR,yangbyungi
2019-11-11,1306327.5720469449,621503.998347555,BEAR,yangbyungi
2019-11-12,1295961.5560061657,619926.0709413682,BEAR,yangbyungi
2019-11-13,1285735.7316387119,384265.5666164373,BEAR,yangbyungi
2019-11-14,1276006.006991271,1276006.006991271,BEAR,yangbyungi
2019-11-15,1253654.6159990034,600376.212492972,BEAR,yangbyungi
2019-11-18,1253549.411300066,1253549.411300066,BEAR,yangbyungi
2019-11-19,1253549.411300066,1253549.411300066,BEAR,yangbyungi
2019-11-20,1223739.2503117495,587848.3311203518,BEAR,yangbyungi
2019-11-21,1213899.3159480947,1213899.3159480947,BEAR,yangbyungi
2019-11-22,1213899.3159480947,1213899.3159480947,BEAR,yangbyungi
2019-11-25,1235585.4990926336,364169.79478442844,BEAR,yangbyungi
2019-11-26,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-11-27,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-11-29,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-12-02,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-12-03,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-12-04,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-12-05,1230397.7766452865,1230397.7766452865,BEAR,yangbyungi
2019-12-06,1226916.6186103702,583431.9420564689,BEAR,yangbyungi
2019-12-09,1226369.769245118,1226369.769245118,BEAR,yangbyungi
2019-12-10,1211005.6660316219,578550.2454811146,BEAR,yangbyungi
2019-12-11,1249156.579229063,365422.1190700752,BEAR,yangbyungi
2019-12-12,1304598.0717201226,373126.1373407856,BEAR,yangbyungi
2019-12-13,1274515.4609737785,611256.6541853597,BEAR,yangbyungi
2019-12-16,1277330.6243600375,610853.6260714666,BEAR,yangbyungi
2019-12-17,1287004.6999234091,1287004.6999234091,BEAR,yangbyungi
2019-12-18,1287004.6999234091,1287004.6999234091,BEAR,yangbyungi
2019-12-19,1287004.6999234091,1287004.6999234091,BEAR,yangbyungi
2019-12-20,1285989.2513261228,610929.9497465566,BEAR,yangbyungi
2019-12-23,1301007.3965588254,1301007.3965588254,BEAR,yangbyungi
2019-12-24,1301007.3965588254,1301007.3965588254,BEAR,yangbyungi
2019-12-26,1301007.3965588254,1301007.3965588254,BEAR,yangbyungi
2019-12-27,1301007.3965588254,1301007.3965588254,BEAR,yangbyungi
2019-12-30,1301007.3965588254,1301007.3965588254,BEAR,yangbyungi
2019-12-31,1307068.640562485,390302.21896764764,BEAR,yangbyungi
2020-01-02,1348127.8394008358,402195.9830975076,BEAR,yangbyungi
2020-01-03,1281878.8298510755,612943.2970459879,BEAR,yangbyungi
2020-01-06,1256675.206439806,1256675.206439806,BEAR,yangbyungi
2020-01-07,1259124.6411137125,377002.56193194166,BEAR,yangbyungi
2020-01-08,1246369.054255025,595420.4633614665,BEAR,yangbyungi
2020-01-09,1269238.758979103,1269238.758979103,BEAR,yangbyungi
2020-01-10,1269238.758979103,1269238.758979103,BEAR,yangbyungi
2020-01-13,1270485.2903781766,380771.627693731,BEAR,yangbyungi
